"family","slug","title","h1","meta_description","intro","action_now","what_to_test","primary_cta_label","primary_cta_url","money_cta_label","money_cta_url","disclosure","source_url","search_query","search_performed_at","fetched_at","tier"
"compares","softener-vs-iron-filter","Softener vs Iron Filter","Softener vs Iron Filter for Well Water","Choose between softener and iron filter using symptom logic","This page avoids one size fits all equipment choices","Map issues to hardness versus iron dominant patterns","Test hardness and iron before spending on install","Find local testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Verify treatment claims before you buy","/well-water/how-to-verify-water-treatment-claims","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","Softener versus iron filter secondary standards context","2026-03-07T02:09:30Z","2026-03-07T02:14:30Z","B"
"compares","whole-house-vs-under-sink-ro","Whole House vs Under Sink RO","Whole House vs Under Sink RO","Decide treatment scope by exposure and nuisance priorities","This page compares install range and maintenance burden by scope","Define whether drinking only protection is enough","Test contaminant scope and household use profile first","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Verify treatment claims before you buy","/well-water/how-to-verify-water-treatment-claims","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells","Whole house versus under sink private well decision","2026-03-07T02:10:00Z","2026-03-07T02:15:00Z","B"
"compares","test-kit-vs-certified-lab","Test Kit vs Certified Lab","Test Kit vs Certified Lab for Well Water","Pick testing path based on risk and confidence needs","This page keeps safety decisions ahead of convenience","Use certified lab for high risk or unclear cases","Use kit for routine screening and then confirm critical results","Find certified lab directories","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Avoid sampling mistakes before you buy","/well-water/private-well-sampling-mistakes-that-break-results","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Test kit versus certified lab well water query","2026-03-07T02:10:30Z","2026-03-07T02:15:30Z","A"
"triggers","after-flood","Well Water After Flood: What To Do First","Well Water After Flood: What To Do First","Follow the right safety steps after flooding, including when to stop drinking well water and what to test before normal use","Use this page right after flooding if your private well may have been affected and you need the safest next step.","Use alternative water for drinking, cooking, brushing teeth, and infant formula until flood response steps and testing are complete.","Follow local guidance on disinfection, certified bacteria testing, and any extra testing suggested by floodwater exposure or visible site damage.","Find flood well guidance","https://www.epa.gov/privatewells/what-do-your-private-well-after-flood","Compare microbial treatment paths","/well-water/uv-vs-chlorination","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells/what-do-your-private-well-after-flood","EPA private well after flood immediate steps","2026-03-07T02:11:30Z","2026-03-07T02:16:30Z","A"
"triggers","after-heavy-rain","Well Water After Heavy Rain: What to Do","Well Water After Heavy Rain What To Do","See what to do when well water changes after heavy rain, when old results are less trustworthy, and what to test next","Use this page when your well water changes after heavy rain and you need to decide whether the problem is temporary or needs follow-up.","Pause major purchases until you know whether the rain caused a short disturbance or a repeat contamination pattern.","Test bacterial indicators, turbidity, and any clue tied to the event before treating post-rain water like a normal baseline.","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare sediment and cleanup paths","/well-water/spin-down-vs-cartridge-sediment-filter","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells/protect-your-homes-water","Heavy rain private well testing search","2026-03-07T02:12:00Z","2026-03-07T02:17:00Z","A"
"triggers","after-repair","Well Water After Repair","Test Plan After Well Repair","Apply a clear retest sequence after repair work","This page prevents skipping post repair verification","Record what changed and when before testing","Run a post repair test panel before final decisions","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","See compare pages after testing","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells/protect-your-homes-water","Post repair private well testing guidance search","2026-03-07T02:12:30Z","2026-03-07T02:17:30Z","A"
"triggers","home-purchase-test","New Home With a Private Well: What to Test","New Home With Private Well What To Test","Use this checklist to decide what to test before buying a home with a private well and when old reports are not enough","Use this page during due diligence if you are buying a home with a private well and need to know what to test.","Do not rely on an old seller report alone if the timing, household risk, or local conditions have changed.","Request a certified lab panel that fits local risks and read the results before closing or before making treatment assumptions.","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Review home-sale testing paths","/well-water/private-well-home-sale-testing-by-state","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells","Home purchase private well testing query","2026-03-07T02:13:00Z","2026-03-07T02:18:00Z","A"
"triggers","retest-after-treatment","Retest After Treatment","When To Retest Well Water After Treatment","Keep verification loop active after installation","This page makes retesting part of normal operation","Schedule retest windows right after treatment changes","Run same analyte panel for before after comparison","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","See compare pages after testing","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells/protect-your-homes-water","Retest after treatment private well query","2026-03-07T02:13:30Z","2026-03-07T02:18:30Z","A"
"contaminants","lead","Lead In Well Water Guide","Lead in Well Water What To Do","Understand lead exposure risk and test plus treatment path","Use this page to choose safe immediate and follow up actions for lead concerns","If children or pregnancy are in home use alternate drinking water now","Run certified lab testing and verify treatment performance after install","Review lead guidance","https://www.epa.gov/ground-water-and-drinking-water/basic-information-about-lead-drinking-water","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/ground-water-and-drinking-water/basic-information-about-lead-drinking-water","EPA lead in drinking water basic information","2026-03-07T03:30:00Z","2026-03-07T03:35:00Z","A"
"contaminants","pfas","PFAS in Well Water: What to Do","PFAS in Well Water What To Do","Learn when PFAS in well water needs immediate caution, how to test correctly, and what to verify before buying a filter","Use this page if you are worried about PFAS in a private well or you already have a PFAS result and need the next step.","Use a safer drinking water source when PFAS is a real possibility and your current data is weak, old, or not yet confirmed.","Order certified PFAS testing, confirm exactly which compounds were measured, and verify contaminant-specific filter claims before purchase.","Find PFAS guidance","https://www.epa.gov/cleanups/pfas-private-wells","Compare PFAS treatment paths","/well-water/carbon-vs-ro","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/cleanups/pfas-private-wells","EPA PFAS private wells guidance","2026-03-07T03:31:00Z","2026-03-07T03:36:00Z","A"
"contaminants","uranium","Uranium In Well Water Guide","Uranium in Well Water What To Do","Understand uranium risk and treatment verification for private wells","Use this page to prioritize testing and treatment validation for uranium in drinking water","Switch drinking source for vulnerable people until lab confirmation is complete","Use certified lab uranium testing and retest after treatment changes","Review contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","EPA uranium drinking water contaminant regulations","2026-03-07T03:32:00Z","2026-03-07T03:37:00Z","B"
"contaminants","radon","Radon in Well Water: What to Do","Radon in Well Water What To Do","Learn when radon in well water needs follow-up, what to test next, and when indoor air should be part of the picture","Use this page if a test mentions radon in water or you live in an area where private well radon is a known concern.","If household risk feels high or the data is weak, use caution before treating a single old result like the final answer.","Coordinate radon-in-water testing with any indoor air questions before deciding whether treatment belongs in scope at all.","Review radon well guidance","https://www.epa.gov/radtown/natural-radionuclides-private-wells","Compare radon treatment categories","/well-water/radon-aeration-vs-gac","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/radtown/natural-radionuclides-private-wells","EPA natural radionuclides private wells radon guidance","2026-03-07T03:33:00Z","2026-03-07T03:38:00Z","A"
"contaminants","nitrite","Nitrite In Well Water Guide","Nitrite in Well Water What To Do","Interpret nitrite results and choose immediate safe next steps","Use this page to act quickly when nitrite appears in private well testing","If infants are present use alternate drinking water immediately","Confirm nitrite with certified lab and investigate nitrate plus source patterns","Find testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","EPA nitrite drinking water regulation contaminant list","2026-03-07T03:34:00Z","2026-03-07T03:39:00Z","B"
"contaminants","copper","Copper In Well Water Guide","Copper in Well Water What To Do","Use copper symptoms and test results to choose the right fix","Use this page to decide when corrosion control is the first priority for copper","Avoid using affected water for infant formula until testing is confirmed","Run certified copper testing and review pH corrosion conditions","Review lead and copper basics","https://www.epa.gov/ground-water-and-drinking-water/basic-information-about-lead-drinking-water","Compare low-pH correction paths","/well-water/acid-neutralizer-vs-soda-ash","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","EPA copper drinking water contaminant regulations","2026-03-07T03:35:00Z","2026-03-07T03:40:00Z","B"
"contaminants","chloride","Chloride In Well Water Guide","Chloride in Well Water What To Do","Address salty chloride taste and nuisance impacts in private wells","Use this page to connect chloride symptoms with practical treatment decisions","Document taste and corrosion signs before buying treatment equipment","Test chloride and related nuisance chemistry through certified lab workflow","Review nuisance standards","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA secondary drinking water standards chloride","2026-03-07T03:36:00Z","2026-03-07T03:41:00Z","B"
"contaminants","sodium","Sodium In Well Water Guide","Sodium in Well Water What To Do","Interpret sodium levels and decide whether treatment is needed","Use this page to align sodium results with household use and treatment goals","If sodium restricted diets apply consult health guidance and use alternate source","Verify sodium with certified lab and compare point of use treatment options","Review nuisance standards","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA secondary drinking water standards sodium","2026-03-07T03:37:00Z","2026-03-07T03:42:00Z","B"
"contaminants","fluoride","Fluoride In Well Water Guide","Fluoride in Well Water What To Do","Use fluoride results to plan treatment and retest schedule","Use this page to make a fluoride action plan without guesswork","Use alternative drinking water for high risk users until confirmatory results return","Run certified fluoride testing and verify treatment claims before install","Review contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","EPA fluoride drinking water contaminant regulations","2026-03-07T03:38:00Z","2026-03-07T03:43:00Z","B"
"contaminants","chromium","Chromium In Well Water Guide","Chromium in Well Water What To Do","Choose a chromium testing and treatment workflow for private wells","Use this page to decide immediate and follow up actions for chromium concerns","Prioritize safer drinking source until chromium results are confirmed","Order certified chromium testing and schedule post treatment verification","Review contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","EPA chromium drinking water contaminant regulations","2026-03-07T03:39:00Z","2026-03-07T03:44:00Z","B"
"contaminants","barium","Barium In Well Water Guide","Barium in Well Water What To Do","Interpret barium test results and confirm treatment fit","Use this page to choose a safe barium response plan with verified testing","Use alternate drinking source when vulnerable users are present","Run certified barium lab testing and verify treatment performance after install","Find certified lab guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","EPA barium drinking water contaminant regulations","2026-03-07T03:40:00Z","2026-03-07T03:45:00Z","B"
"contaminants","selenium","Selenium In Well Water Guide","Selenium in Well Water What To Do","Build a selenium test and treatment sequence for private well safety","Use this page to reduce uncertainty after selenium appears in test results","Avoid relying on untreated water until certified confirmation is complete","Confirm selenium level with certified lab and retest after treatment changes","Review contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants","EPA selenium drinking water contaminant regulations","2026-03-07T03:41:00Z","2026-03-07T03:46:00Z","B"
"symptoms","blue-green-stains","Blue Green Stains in Well Water","Blue Green Stains in Well Water","Learn what blue green stains in well water usually mean and what to test before buying a corrosion fix","Use this page if sinks, tubs, or fixtures are showing blue-green staining and you need to know whether corrosion is the real problem.","Check hot taps, metallic taste, and any visible plumbing corrosion before you assume it is only a stain problem.","Test copper, low pH, and related corrosion clues before buying treatment for what may still be a plumbing-driven issue.","Find local well guidance","https://www.health.state.mn.us/wellwaterqlty","Compare low-pH correction paths","/well-water/acid-neutralizer-vs-soda-ash","Commercial paths stay secondary to testing, verification, and state guidance.","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf","Connecticut pH acidity blue green stains copper corrosion","2026-03-07T03:42:00Z","2026-03-07T03:47:00Z","A"
"symptoms","sulfur-smell-hot-water","Sulfur Smell in Hot Water From a Well","Sulfur Smell in Hot Water From a Well","Find out why hot water from a well smells like sulfur and when the problem may be the water heater instead of the well","Use this page if only the hot water smells like sulfur and you need to know whether the heater may be the first place to look.","Compare cold taps with hot taps before you assume the whole well needs sulfur treatment.","If the smell is hot-water-only, inspect heater and anode patterns first; if it is whole-house, test sulfur-related nuisance clues before treatment.","Review sulfur odor guidance","https://extension.psu.edu/hydrogen-sulfide-rotten-egg-odor-in-water-wells/","Compare sulfur treatment paths","/well-water/air-injection-vs-oxidizing-filter","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.floridahealth.gov/environmental-health/private-well-testing/_documents/wellwater-odor-and-staining.pdf","Florida well water odor and staining guide sulfur smell hot water","2026-03-07T03:43:00Z","2026-03-07T03:48:00Z","A"
"symptoms","salty-taste","Salty Taste In Well Water","Salty Taste in Well Water","Use salty taste signals to prioritize testing and treatment","Use this page to connect salty taste complaints to measured well water chemistry","Track when salty taste appears and whether all fixtures are affected","Test chloride and sodium before selecting treatment","Review nuisance standards","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","Compare matching treatment paths","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA secondary drinking water standards salty taste chloride sodium","2026-03-07T03:44:00Z","2026-03-07T03:49:00Z","B"
"symptoms","bitter-taste","Bitter Taste In Well Water","Bitter Taste in Well Water","Interpret bitter taste patterns and choose test priorities","Use this page to avoid random equipment buys when bitter taste appears","Record whether bitter taste is constant or seasonal before treatment shopping","Run certified nuisance chemistry panel and compare source patterns","Find local well guidance","https://www.health.state.mn.us/wellwaterqlty","Compare matching treatment paths","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.health.state.mn.us/wellwaterqlty","state well water bitter taste testing guidance","2026-03-07T03:45:00Z","2026-03-07T03:50:00Z","B"
"symptoms","slimy-residue","Slimy Residue In Well Water","Slimy Residue in Well Water","Use slime symptoms to decide whether biofilm checks are needed","Use this page to evaluate slime complaints and choose proper confirmation testing","Inspect toilet tanks and faucet aerators for recurring slime patterns","Test bacterial indicators and nuisance chemistry before treatment changes","Find testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare matching treatment paths","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.health.state.mn.us/wellwaterqlty","well water slimy residue bacteria testing guidance","2026-03-07T03:46:00Z","2026-03-07T03:51:00Z","B"
"symptoms","low-water-pressure","Low Water Pressure With Well System","Low Water Pressure in Well Water System","Prioritize pressure troubleshooting steps before treatment spending","Use this page to separate plumbing and pump issues from water quality issues","Check pressure tank and recent maintenance history before adding filtration","If quality changed too run baseline certified testing before upgrades","Review private well basics","https://www.epa.gov/privatewells/protect-your-homes-water","Compare matching treatment paths","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells/protect-your-homes-water","EPA private well low pressure maintenance guidance","2026-03-07T03:47:00Z","2026-03-07T03:52:00Z","B"
