"slug","label","url"
"massachusetts-bedrock-arsenic-uranium-well","Massachusetts certified water labs","https://www.mass.gov/how-to/find-a-certified-laboratory-for-water-testing"
"metallic-taste","Connecticut pH acidity metallic taste copper corrosion","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf"
"metallic-taste","EPA basic information about lead in drinking water","https://www.epa.gov/ground-water-and-drinking-water/basic-information-about-lead-drinking-water"
"michigan-arsenic-private-well","Michigan private well testing","https://www.michigan.gov/egle/about/organization/drinking-water-and-environmental-health/water-well-construction/private-well-testing"
"minnesota-nitrate-private-well","CDC testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"musty-odor","state well water musty odor testing guidance","https://www.health.state.mn.us/wellwaterqlty"
"neighbor-contamination-alert","USGS contamination in US private wells guidance","https://www.usgs.gov/water-science-school/science/contamination-us-private-wells"
"new-baby-at-home","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"new-baby-at-home","EPA infant safety guidance","https://www.epa.gov/children/private-wells-and-drinking-water-safety-and-infants"
"new-hampshire-arsenic-well-water","New Hampshire arsenic fact sheet","https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/2020-01/dwgb-3-2.pdf"
"new-hampshire-arsenic-well-water","New Hampshire private well lab list","https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/labs-private-wells.pdf"
"new-jersey-pwta-private-well-testing","New Jersey certified drinking water lab path","https://www.nj.gov/health/cottagefood/requirements/water-potability/"
"new-jersey-pwta-private-well-testing","New Jersey private well and water quality guidance","https://www.nj.gov/health/ceohs/public-health-tracking/env-quality"
"new-jersey-pwta-vs-full-household-panel","CDC testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"new-york-pfas-private-wells","EPA PFAS private wells","https://www.epa.gov/cleanups/pfas-private-wells"
"new-york-pfas-private-well-testing-order","EPA PFAS private wells","https://www.epa.gov/cleanups/pfas-private-wells"
"nitrate","EPA drinking water contaminants and standards","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"nitrate","EPA infant and private well guidance","https://www.epa.gov/children/private-wells-and-drinking-water-safety-and-infants"
"nitrate-baby-pregnancy-well-water-checklist","Iowa nitrate guidance","https://hhs.iowa.gov/media/469/download?inline"
"nitrate-baby-pregnancy-well-water-checklist","Minnesota nitrate guidance","https://www.health.state.mn.us/communities/environment/water/wells/waterquality/nitrate.html"
"nitrite","EPA nitrite drinking water regulation contaminant list","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"orange-stains","EPA orange stain iron nuisance guidance","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"orange-stains","Florida well water odor and staining guide","https://www.floridahealth.gov/environmental-health/private-well-testing/_documents/wellwater-odor-and-staining.pdf"
"pennsylvania-private-well-radon","Pennsylvania private well testing guidance","https://www.pa.gov/agencies/dep/residents/my-water/private-wells/water-testing.html"
"pennsylvania-private-well-radon","Pennsylvania radon in the home","https://www.pa.gov/agencies/dep/programs-and-services/radiation-protection/radon-division/radon-in-the-home.html"
"pfas","EPA identifying drinking water filters certified to reduce PFAS","https://www.epa.gov/water-research/identifying-drinking-water-filters-certified-reduce-pfas"
"pfas","EPA PFAS private wells guidance","https://www.epa.gov/cleanups/pfas-private-wells"
"pfas-private-well-filter-claim-checklist","EPA PFAS private wells","https://www.epa.gov/cleanups/pfas-private-wells"
"ph","Connecticut pH acidity fact sheet","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf"
"ph","Connecticut private well testing and corrosion table","https://portal.ct.gov/dph/environmental-health/private-well-water-program/private-well-testing"
"pink-stains","state well water pink stains guidance","https://www.health.state.mn.us/wellwaterqlty"
"point-of-entry-vs-point-of-use","EPA point of use point of entry filter certified reduce PFAS","https://www.epa.gov/water-research/identifying-drinking-water-filters-certified-reduce-pfas"
"pregnancy-in-home","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"pregnancy-in-home","EPA infant safety guidance","https://www.epa.gov/children/private-wells-and-drinking-water-safety-and-infants"
"private-well-home-sale-testing-by-state","New Hampshire private well labs","https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/labs-private-wells.pdf"
"private-well-sampling-mistakes-that-break-results","CDC testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"private-well-sampling-mistakes-that-break-results","Massachusetts certified water laboratories","https://www.mass.gov/how-to/find-a-certified-laboratory-for-water-testing"
"private-well-testing-schedule-by-household","CDC testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"private-well-testing-schedule-by-household","Connecticut private well testing recommendations","https://portal.ct.gov/dph/environmental-health/private-well-water-program/private-well-testing"
"radon","EPA natural radionuclides private wells radon guidance","https://www.epa.gov/radtown/natural-radionuclides-private-wells"
"radon","Pennsylvania radon in the home guidance","https://www.pa.gov/agencies/dep/programs-and-services/radiation-protection/radon-division/radon-in-the-home.html"
"radon-aeration-vs-gac","Pennsylvania radon in the home","https://www.pa.gov/agencies/dep/programs-and-services/radiation-protection/radon-division/radon-in-the-home.html"
"radon-radium-private-well-testing-order","Pennsylvania radon guidance","https://www.pa.gov/agencies/dep/programs-and-services/radiation-protection/radon-division/radon-in-the-home.html"
"retest-after-treatment","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"retest-after-treatment","Retest after treatment private well","https://www.epa.gov/privatewells/protect-your-homes-water"
"rotten-egg-smell","EPA nuisance chemical guidance","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"rotten-egg-smell","Florida odor and staining guide","https://www.floridahealth.gov/environmental-health/private-well-testing/_documents/wellwater-odor-and-staining.pdf"
"ro-vs-adsorptive-media-for-arsenic","EPA arsenic contaminants and regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"salty-taste","EPA secondary drinking water standards salty taste chloride sodium","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"scale-buildup","EPA scale hardness secondary standards page","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"selenium","EPA selenium drinking water contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"shock-vs-continuous-chlorination","CDC disinfect wells after emergency guidance","https://www.cdc.gov/water-emergency/about/how-to-disinfect-wells-after-an-emergency.html"
"slimy-residue","well water slimy residue bacteria testing guidance","https://www.health.state.mn.us/wellwaterqlty"
"sodium","EPA secondary drinking water standards sodium","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"softener-vs-iron-filter","Softener versus iron filter secondary standards context","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"spin-down-vs-cartridge-sediment-filter","EPA private well protection sediment filtration maintenance","https://www.epa.gov/privatewells/protect-your-homes-water"
"sulfate","EPA sulfate secondary standard guidance","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"sulfur-smell-hot-water","EPA nuisance chemical guidance","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"sulfur-smell-hot-water","Florida well water odor and staining guide sulfur smell hot water","https://www.floridahealth.gov/environmental-health/private-well-testing/_documents/wellwater-odor-and-staining.pdf"
"sulfur-smell-hot-water-vs-whole-house","EPA nuisance chemical guidance","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"tds","EPA secondary standards tds meaning","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals"
"test-kit-vs-certified-lab","CDC well testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"test-kit-vs-certified-lab","New Hampshire private well lab list","https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/labs-private-wells.pdf"
"texas-private-well-sampling-chain-of-custody","CDC testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"texas-private-well-sampling-testing","CDC testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"uranium","EPA uranium drinking water contaminant regulations","https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants"
"uv-vs-chlorination","CDC guidelines treating well water disinfection options","https://www.cdc.gov/drinking-water/safety/guidelines-for-treating-well-water.html"
"uv-vs-ro","UV vs RO for private well and guidance","https://www.epa.gov/privatewells"
"vermont-new-well-arsenic-uranium-testing","EPA private wells basics","https://www.epa.gov/privatewells"
"when-not-to-buy-treatment-yet","CDC treating well water guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-treating-well-water.html"
"when-not-to-buy-treatment-yet","EPA private well basics","https://www.epa.gov/privatewells"
"whole-house-vs-under-sink-ro","Whole house versus under sink private well decision","https://www.epa.gov/privatewells"
"wildfire-drought-private-well-risk-reset","CDC private wells after wildfire","https://www.cdc.gov/environmental-health-services/php/water/private-wells-after-a-wildfire.html"
"wisconsin-nitrate-pregnancy-well-water","EPA infant and private well guidance","https://www.epa.gov/children/private-wells-and-drinking-water-safety-and-infants"
"after-wildfire","CDC wildfire rapid assessment form for private wells","https://www.cdc.gov/environmental-health-services/media/pdfs/Rapid_Assessment_Form_for_Wells_Affected_by_Wildfire.pdf"
"e-coli","CDC guidelines for testing well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"iron","CDC guidelines for testing well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"manganese","EPA manganese drinking water support","https://www.epa.gov/system/files/documents/2021-09/addressing-manganese-with-the-dwsrf-and-case-studies_final_2.pdf"
"new-york-pfas-private-wells","New York PFAS in private wells fact sheet","https://www.health.ny.gov/environmental/water/drinking/private_wells/docs/pfas_consumer_factsheet.pdf"
"private-well-home-sale-testing-by-state","CDC guidelines for testing well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"sulfur-smell-hot-water-vs-whole-house","CDC guidelines for testing well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"hardness","CDC guidelines for testing well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"uranium","EPA natural radionuclides in private wells","https://www.epa.gov/radtown/natural-radionuclides-private-wells"
"nitrite","CDC guidelines for testing well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"copper","Connecticut pH acidity fact sheet","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf"
"softener-vs-iron-filter","EPA home drinking water filtration fact sheet","https://www.epa.gov/ground-water-and-drinking-water/home-drinking-water-filtration-fact-sheet"
"whole-house-vs-under-sink-ro","EPA home drinking water filtration fact sheet","https://www.epa.gov/ground-water-and-drinking-water/home-drinking-water-filtration-fact-sheet"
"carbon-vs-ro","EPA home drinking water filtration fact sheet","https://www.epa.gov/ground-water-and-drinking-water/home-drinking-water-filtration-fact-sheet"
"uv-vs-chlorination","CDC disinfect wells after an emergency","https://www.cdc.gov/water-emergency/about/how-to-disinfect-wells-after-an-emergency.html"
"point-of-entry-vs-point-of-use","EPA home drinking water filtration fact sheet","https://www.epa.gov/ground-water-and-drinking-water/home-drinking-water-filtration-fact-sheet"
"acid-neutralizer-vs-soda-ash","CDC groundwater corrosivity and lead in wells","https://www.cdc.gov/environmental-health-services/php/water/groundwater-corrosivity-lead-wells.html"
"after-boil-water-advisory","CDC guidelines for treating well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-treating-well-water.html"
"air-injection-vs-oxidizing-filter","Florida odor and staining fact sheet","https://www.floridahealth.gov/wp-content/uploads/2025/08/well-water-facts-odor-staining.pdf"
"low-ph-copper-corrosion-testing-order","CDC groundwater corrosivity and lead in wells","https://www.cdc.gov/environmental-health-services/php/water/groundwater-corrosivity-lead-wells.html"
"pfas-private-well-filter-claim-checklist","EPA PFAS certified filter guidance","https://www.epa.gov/water-research/identifying-drinking-water-filters-certified-reduce-pfas"
"ro-vs-adsorptive-media-for-arsenic","Connecticut arsenic in private well water","https://portal.ct.gov/dph/environmental-health/private-well-water-program/arsenic-in-private-well-water"
"shock-vs-continuous-chlorination","CDC guidelines for treating well water","https://www.cdc.gov/drinking-water/safety/guidelines-for-treating-well-water.html"
"uv-vs-ro","CDC home water treatment systems","https://www.cdc.gov/drinking-water/about/about-home-water-treatment-systems.html"
"home-purchase-test","Virginia Tech private water supply protection in Virginia","https://www.wellwater.bse.vt.edu/"
"private-well-testing-schedule-by-household","Virginia Tech private water supply protection in Virginia","https://www.wellwater.bse.vt.edu/"
"how-to-read-a-well-water-lab-report","Purdue Extension WQ-24 water test interpretation","https://extension.purdue.edu/extmedia/wq/wq-24.html"
"after-flood","University of Missouri Extension flooded wells contamination and shock chlorination","https://extension.missouri.edu/news/flooded-wells-may-be-contaminated-use-shock-chlorination-to-disinfect-water"
"cloudy-water","University of Missouri Extension well owners need to regularly test water","https://extension.missouri.edu/news/well-owners-need-to-regularly-test-water"
"metallic-taste","University of Missouri Extension test well water annually","https://extension.missouri.edu/news/test-well-water-annually"
"how-to-verify-water-treatment-claims","University of Missouri Extension water filtration buying caution","https://extension.missouri.edu/news/consumers-should-think-twice-before-investing-in-a-water-filtration-system"
"when-not-to-buy-treatment-yet","University of Missouri Extension water filtration buying caution","https://extension.missouri.edu/news/consumers-should-think-twice-before-investing-in-a-water-filtration-system"
"carbon-vs-ro","NSF standards for water treatment systems","https://www.nsf.org/knowledge-library/standards-water-treatment-systems"
"how-to-verify-water-treatment-claims","NSF Certified Products and Systems directory","https://www.nsf.org/certified-products-systems"
"pfas-private-well-filter-claim-checklist","NSF PFAS reduction claims for drinking water treatment units","https://www.nsf.org/news/pfas-reduction-claims-for-pfoa-and-pfos-in-drinking-water-treatment-units"
"whole-house-vs-under-sink-ro","NSF/ANSI 58 reverse osmosis drinking water treatment systems","https://www.nsf.org/knowledge-library/nsf-ansi-58-reverse-osmosis-drinking-water-treatment-systems"
"ro-vs-adsorptive-media-for-arsenic","NSF/ANSI 58 reverse osmosis drinking water treatment systems","https://www.nsf.org/knowledge-library/nsf-ansi-58-reverse-osmosis-drinking-water-treatment-systems"
"uv-vs-ro","NSF/ANSI 58 reverse osmosis drinking water treatment systems","https://www.nsf.org/knowledge-library/nsf-ansi-58-reverse-osmosis-drinking-water-treatment-systems"
"uv-vs-chlorination","NSF/ANSI 55 ozone and UV systems","https://www.nsf.org/knowledge-library/ozone-and-uv-systems"
"uv-vs-ro","NSF/ANSI 55 ozone and UV systems","https://www.nsf.org/knowledge-library/ozone-and-uv-systems"
"softener-vs-iron-filter","NSF/ANSI 44 residential cation exchange water softeners","https://www.nsf.org/knowledge-library/residential-cation-exchange-water-softeners"
"arsenic","USGS arsenic and drinking water","https://www.usgs.gov/special-topics/water-science-school/science/arsenic-and-drinking-water"
"new-hampshire-arsenic-well-water","USGS arsenic and drinking water","https://www.usgs.gov/special-topics/water-science-school/science/arsenic-and-drinking-water"
"maine-bedrock-arsenic-private-well","USGS arsenic and drinking water","https://www.usgs.gov/special-topics/water-science-school/science/arsenic-and-drinking-water"
"michigan-arsenic-private-well","USGS arsenic and drinking water","https://www.usgs.gov/special-topics/water-science-school/science/arsenic-and-drinking-water"
"arsenic-bedrock-testing-checklist","USGS arsenic and drinking water","https://www.usgs.gov/special-topics/water-science-school/science/arsenic-and-drinking-water"
"private-well-testing-schedule-by-household","USGS water quality in private domestic wells","https://www.usgs.gov/mission-areas/water-resources/science/water-quality-private-domestic-wells-united-states"
"how-to-read-a-well-water-lab-report","USGS water quality in private domestic wells","https://www.usgs.gov/mission-areas/water-resources/science/water-quality-private-domestic-wells-united-states"
"pfas","USGS PFAS and private wells","https://www.usgs.gov/mission-areas/water-resources/science/pfas-and-private-wells"
"new-york-pfas-private-wells","USGS PFAS and private wells","https://www.usgs.gov/mission-areas/water-resources/science/pfas-and-private-wells"
"pfas-private-well-filter-claim-checklist","USGS PFAS and private wells","https://www.usgs.gov/mission-areas/water-resources/science/pfas-and-private-wells"
"nitrate","USGS nitrate and water","https://www.usgs.gov/special-topics/water-science-school/science/nitrate-and-water"
"nitrate-baby-pregnancy-well-water-checklist","USGS nitrate and water","https://www.usgs.gov/special-topics/water-science-school/science/nitrate-and-water"
"iowa-nitrate-baby-well-water","USGS nitrate and water","https://www.usgs.gov/special-topics/water-science-school/science/nitrate-and-water"
"minnesota-nitrate-private-well","USGS nitrate and water","https://www.usgs.gov/special-topics/water-science-school/science/nitrate-and-water"
"wisconsin-nitrate-pregnancy-well-water","USGS nitrate and water","https://www.usgs.gov/special-topics/water-science-school/science/nitrate-and-water"
"radon","USGS radon and water","https://www.usgs.gov/special-topics/water-science-school/science/radon-and-water"
"pennsylvania-private-well-radon","USGS radon and water","https://www.usgs.gov/special-topics/water-science-school/science/radon-and-water"
"radon-aeration-vs-gac","USGS radon and water","https://www.usgs.gov/special-topics/water-science-school/science/radon-and-water"
"radon-radium-private-well-testing-order","USGS radon and water","https://www.usgs.gov/special-topics/water-science-school/science/radon-and-water"
"after-flood","University of Illinois Extension private well testing after flooding or repairs","https://extension.illinois.edu/news-releases/test-private-wells-ensure-safe-drinking-water"
"after-heavy-rain","University of Illinois Extension private well testing after flooding or repairs","https://extension.illinois.edu/news-releases/test-private-wells-ensure-safe-drinking-water"
"coliform","Purdue Extension WQ-4 common private well contaminants","https://www.extension.purdue.edu/extmedia/WQ/WQ-4-W.pdf"
"e-coli","Purdue Extension WQ-4 common private well contaminants","https://www.extension.purdue.edu/extmedia/WQ/WQ-4-W.pdf"
"home-purchase-test","UConn CLEAR is your water safe to drink","https://clear.uconn.edu/2019/12/23/is-your-water-safe-to-drink/"
"nitrate","University of Missouri Extension nitrate in drinking water","https://extension.missouri.edu/publications/wq103"
"nitrate-baby-pregnancy-well-water-checklist","University of Missouri Extension nitrate in drinking water","https://extension.missouri.edu/publications/wq103"
"private-well-testing-schedule-by-household","UConn Extension managing your private well testing and treatment guide","https://extension.uconn.edu/publication/managing-your-private-well-testing-and-treatment-guide/"
"test-kit-vs-certified-lab","UConn Extension managing your private well testing and treatment guide","https://extension.uconn.edu/publication/managing-your-private-well-testing-and-treatment-guide/"
"north-carolina-private-well-water-faqs","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"virginia-private-well-testing-program","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"indiana-well-water-quality-testing","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"georgia-private-well-water-guidance","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"south-carolina-well-water-quality-testing","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"oregon-private-well-testing-recommendations","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"washington-private-well-water-testing","CDC well water testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html"
"north-carolina-private-well-water-faqs","EPA private wells basics","https://www.epa.gov/privatewells"
"virginia-private-well-testing-program","Virginia Tech private water supply protection in Virginia","https://www.wellwater.bse.vt.edu/"
"oregon-private-well-testing-recommendations","Oregon real estate transaction well testing rules","https://www.oregon.gov/oha/ph/HealthyEnvironments/DrinkingWater/SourceWater/DomesticWellSafety/Pages/Testing-Regulations.aspx"
"washington-private-well-water-testing","Washington arsenic in drinking water guidance","https://doh.wa.gov/community-and-environment/contaminants/arsenic"
